naringsregion;naringsregion_nr;naringsregion_navn;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers
30 Vest-Telemark;30; Vest-Telemark;319 100;249 300;233 500;325 000
31 Setesdal;31; Setesdal;319 200;262 700;199 400;327 800
32 Arendalregionen;32; Arendalregionen;319 000;257 100;220 800;326 400
33 Lister;33; Lister;327 000;280 400;227 200;331 800
34 Mandalsregionen;34; Mandalsregionen;317 100;262 800;202 400;324 700
35 Kristiansandregionen;35; Kristiansandregionen;327 800;283 900;233 800;335 700
36 Dalane;36; Dalane;340 000;295 700;262 500;345 100
37 Haugesundregionen;37; Haugesundregionen;339 000;261 500;248 200;346 700
38 Ryfylke;38; Ryfylke;347 700;279 000;242 400;355 700
39 Stavangerregionen;39; Stavangerregionen;374 700;322 000;284 900;385 000
40 Bergen;40; Bergen;347 900;281 200;247 000;358 900
41 Bjørnefjorden;41; Bjørnefjorden;345 500;263 200;273 000;352 300
42 Hardanger;42; Hardanger;333 800;267 600;229 300;340 500
43 Voss;43; Voss;328 500;251 000;210 600;333 000
44 Nordhordland;44; Nordhordland;345 500;276 300;264 100;351 100
45 Osterfjorden;45; Osterfjorden;321 300;266 900;258 500;326 000
46 Sunnhordland;46; Sunnhordland;339 300;274 700;243 600;345 700
47 Hordaland Vest;47; Hordaland Vest;351 500;284 300;255 200;356 900
48 HAFS;48; HAFS;329 100;250 700;214 400;334 500
49 Nordfjord;49; Nordfjord;325 400;267 500;224 600;332 200
50 Sogn;50; Sogn;332 400;265 900;209 300;337 700
51 Sunnfjord;51; Sunnfjord;342 400;280 800;225 800;348 800
52 Nordmøre;52; Nordmøre;331 700;262 000;225 200;338 200
53 Romsdal;53; Romsdal;340 200;278 400;253 200;346 200
54 Storfjord;54; Storfjord;323 900;267 300;261 100;331 300
55 Søre Sunnmøre;55; Søre Sunnmøre;339 500;272 700;232 000;347 600
56 Ålesundregionen;56; Ålesundregionen;342 000;265 800;257 700;349 700
57 Fosen;57; Fosen;316 600;258 800;258 800;319 200
58 Hitra/Frøya;58; Hitra/Frøya;322 900;276 700;270 100;332 500
59 Oppdal/Rennebu;59; Oppdal/Rennebu;313 200;264 400;201 700;317 000
60 Orkdalregionen;60; Orkdalregionen;320 200;253 400;225 900;324 500
61 Trondheimsregionen;61; Trondheimsregionen;341 700;275 700;236 000;348 600
62 Rørosregionen;62; Rørosregionen;320 000;268 500;242 100;323 700
63 Stjørdalsregionen;63; Stjørdalsregionen;325 500;257 000;227 700;330 300
64 Innherred;64; Innherred;318 100;259 500;194 500;322 700
65 Indre Namdal;65; Indre Namdal;317 900;255 100;139 900;322 000
66 Kystgruppen;66; Kystgruppen;323 700;252 700;224 900;329 100
67 Midtre Namdal;67; Midtre Namdal;321 200;279 700;187 700;325 100
68 Sør-Helgeland;68; Sør-Helgeland;316 900;261 000;221 200;319 600
69 HALD;69; HALD;328 200;277 500;193 900;334 200
70 Ytre Helgeland;70; Ytre Helgeland;305 500;270 200;273 100;308 600
71 Mosjøregionen;71; Mosjøregionen;324 700;273 000;202 800;328 100
72 Ranaregionen;72; Ranaregionen;324 600;278 800;207 200;328 000
73 Salten;73; Salten;339 800;281 500;221 900;344 500
74 Ofoten;74; Ofoten;330 000;268 400;204 700;335 400
75 Lofoten;75; Lofoten;315 500;257 900;202 900;322 700
76 Vesterålen;76; Vesterålen;318 400;249 500;203 400;325 100
77 Sør-Troms;77; Sør-Troms;327 900;288 900;205 000;333 600
78 Midt-Troms;78; Midt-Troms;329 700;272 900;195 000;334 100
79 Tromsøregionen;79; Tromsøregionen;344 100;284 800;248 000;350 000
80 Nord-Troms;80; Nord-Troms;325 500;291 700;217 000;328 700
81 Vest-Finnmark;81; Vest-Finnmark;346 200;292 400;254 500;352 300
82 Midt-Finnmark;82; Midt-Finnmark;321 900;284 400;289 200;324 700
83 Øst-Finnmark;83; Øst-Finnmark;339 400;271 700;246 300;349 200
