"aar","bydel_id","spraak","bhgalder","enhet","tabellvariabel","tabell_navn","barnikommune","naringsregion_id","kommune_id","fylke_id"
"2013","030103","NULL","3","personer","125","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030103","NULL","4","personer","118","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030103","NULL","5","personer","109","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030103","NULL","1-5","personer","613","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030103","NULL","1-5","personer","1752","barnehagedeltakelse","barn_ellers","NULL","NULL","NULL"
"2013","030104","alle","1-5","personer","1995","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030104","alle","1-5","prosent","121.6","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030104","minoritet","1","personer","49","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030104","minoritet","2","personer","84","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030104","minoritet","3","personer","81","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030104","minoritet","4","personer","71","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030104","minoritet","5","personer","67","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030104","minoritet","1-5","personer","352","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030104","minoritet","1-5","prosent","98.3","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030104","ikke_minoritet","1-5","personer","1643","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030104","NULL","1-5","personer","1640","barnehagedeltakelse","alle","NULL","NULL","NULL"
"2013","030104","NULL","1","personer","81","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030104","NULL","2","personer","78","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030104","NULL","3","personer","75","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030104","NULL","4","personer","63","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030104","NULL","5","personer","61","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030104","NULL","1-5","personer","358","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030104","NULL","1-5","personer","1282","barnehagedeltakelse","barn_ellers","NULL","NULL","NULL"
"2013","030105","alle","1-5","personer","2386","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030105","alle","1-5","prosent","106.3","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030105","minoritet","1","personer","49","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030105","minoritet","2","personer","77","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030105","minoritet","3","personer","105","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030105","minoritet","4","personer","85","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030105","minoritet","5","personer","114","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030105","minoritet","1-5","personer","430","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030105","minoritet","1-5","prosent","85.5","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030105","ikke_minoritet","1-5","personer","1956","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030105","NULL","1-5","personer","2244","barnehagedeltakelse","alle","NULL","NULL","NULL"
"2013","030105","NULL","1","personer","115","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030105","NULL","2","personer","102","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030105","NULL","3","personer","102","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030105","NULL","4","personer","82","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030105","NULL","5","personer","102","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030105","NULL","1-5","personer","503","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030105","NULL","1-5","personer","1741","barnehagedeltakelse","barn_ellers","NULL","NULL","NULL"
"2013","030106","alle","1-5","personer","2153","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030106","alle","1-5","prosent","99.8","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030106","minoritet","1","personer","20","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030106","minoritet","2","personer","44","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030106","minoritet","3","personer","42","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030106","minoritet","4","personer","49","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030106","minoritet","5","personer","33","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030106","minoritet","1-5","personer","188","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030106","minoritet","1-5","prosent","78.3","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030106","ikke_minoritet","1-5","personer","1965","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030106","NULL","1-5","personer","2157","barnehagedeltakelse","alle","NULL","NULL","NULL"
"2013","030106","NULL","1","personer","48","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030106","NULL","2","personer","62","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030106","NULL","3","personer","44","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030106","NULL","4","personer","46","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030106","NULL","5","personer","40","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030106","NULL","1-5","personer","240","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030106","NULL","1-5","personer","1917","barnehagedeltakelse","barn_ellers","NULL","NULL","NULL"
"2013","030107","alle","1-5","personer","2894","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030107","alle","1-5","prosent","85.1","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030107","minoritet","1","personer","27","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030107","minoritet","2","personer","44","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030107","minoritet","3","personer","50","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030107","minoritet","4","personer","45","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030107","minoritet","5","personer","38","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030107","minoritet","1-5","personer","204","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030107","minoritet","1-5","prosent","64.4","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030107","ikke_minoritet","1-5","personer","2690","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030107","NULL","1-5","personer","3399","barnehagedeltakelse","alle","NULL","NULL","NULL"
"2013","030107","NULL","1","personer","72","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030107","NULL","2","personer","67","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030107","NULL","3","personer","70","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030107","NULL","4","personer","50","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030107","NULL","5","personer","58","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030107","NULL","1-5","personer","317","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030107","NULL","1-5","personer","3082","barnehagedeltakelse","barn_ellers","NULL","NULL","NULL"
"2013","030108","alle","1-5","personer","3748","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030108","alle","1-5","prosent","108.7","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030108","minoritet","1","personer","67","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030108","minoritet","2","personer","97","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030108","minoritet","3","personer","80","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030108","minoritet","4","personer","86","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030108","minoritet","5","personer","76","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030108","minoritet","1-5","personer","406","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030108","minoritet","1-5","prosent","106.6","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030108","ikke_minoritet","1-5","personer","3342","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030108","NULL","1-5","personer","3448","barnehagedeltakelse","alle","NULL","NULL","NULL"
"2013","030108","NULL","1","personer","65","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030108","NULL","2","personer","90","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030108","NULL","3","personer","79","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030108","NULL","4","personer","80","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030108","NULL","5","personer","67","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030108","NULL","1-5","personer","381","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030108","NULL","1-5","personer","3067","barnehagedeltakelse","barn_ellers","NULL","NULL","NULL"
"2013","030109","alle","1-5","personer","1961","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030109","alle","1-5","prosent","75.3","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030109","minoritet","1","personer","59","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030109","minoritet","2","personer","125","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030109","minoritet","3","personer","178","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030109","minoritet","4","personer","169","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030109","minoritet","5","personer","195","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030109","minoritet","1-5","personer","726","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030109","minoritet","1-5","prosent","69.5","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030109","ikke_minoritet","1-5","personer","1235","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030109","NULL","1-5","personer","2605","barnehagedeltakelse","alle","NULL","NULL","NULL"
"2013","030109","NULL","1","personer","205","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030109","NULL","2","personer","207","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030109","NULL","3","personer","230","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030109","NULL","4","personer","206","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030109","NULL","5","personer","196","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030109","NULL","1-5","personer","1044","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030109","NULL","1-5","personer","1561","barnehagedeltakelse","barn_ellers","NULL","NULL","NULL"
"2013","030110","alle","1-5","personer","1346","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030110","alle","1-5","prosent","69.6","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030110","minoritet","1","personer","69","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030110","minoritet","2","personer","122","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030110","minoritet","3","personer","176","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030110","minoritet","4","personer","182","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030110","minoritet","5","personer","204","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030110","minoritet","1-5","personer","753","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030110","minoritet","1-5","prosent","75.8","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030110","ikke_minoritet","1-5","personer","593","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030110","NULL","1-5","personer","1933","barnehagedeltakelse","alle","NULL","NULL","NULL"
"2013","030110","NULL","1","personer","195","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030110","NULL","2","personer","188","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030110","NULL","3","personer","216","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030110","NULL","4","personer","194","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030110","NULL","5","personer","201","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030110","NULL","1-5","personer","994","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030110","NULL","1-5","personer","939","barnehagedeltakelse","barn_ellers","NULL","NULL","NULL"
"2013","030111","alle","1-5","personer","1336","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030111","alle","1-5","prosent","63.1","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030111","minoritet","1","personer","48","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030111","minoritet","2","personer","133","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030111","minoritet","3","personer","214","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030111","minoritet","4","personer","254","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030111","minoritet","5","personer","280","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030111","minoritet","1-5","personer","929","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030111","minoritet","1-5","prosent","75.2","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030111","ikke_minoritet","1-5","personer","407","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030111","NULL","1-5","personer","2118","barnehagedeltakelse","alle","NULL","NULL","NULL"
"2013","030111","NULL","1","personer","234","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030111","NULL","2","personer","235","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030111","NULL","3","personer","257","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030111","NULL","4","personer","242","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030111","NULL","5","personer","268","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030111","NULL","1-5","personer","1236","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030111","NULL","1-5","personer","882","barnehagedeltakelse","barn_ellers","NULL","NULL","NULL"
"2013","030112","alle","1-5","personer","2543","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030112","alle","1-5","prosent","73.3","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030112","minoritet","1","personer","94","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030112","minoritet","2","personer","269","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030112","minoritet","3","personer","309","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030112","minoritet","4","personer","428","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030112","minoritet","5","personer","412","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030112","minoritet","1-5","personer","1512","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030112","minoritet","1-5","prosent","81.5","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030112","ikke_minoritet","1-5","personer","1031","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030112","NULL","1-5","personer","3467","barnehagedeltakelse","alle","NULL","NULL","NULL"
"2013","030112","NULL","1","personer","354","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030112","NULL","2","personer","367","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030112","NULL","3","personer","374","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030112","NULL","4","personer","392","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030112","NULL","5","personer","368","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030112","NULL","1-5","personer","1855","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030112","NULL","1-5","personer","1612","barnehagedeltakelse","barn_ellers","NULL","NULL","NULL"
"2013","030113","alle","1-5","personer","2912","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030113","alle","1-5","prosent","77.9","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030113","minoritet","1","personer","65","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030113","minoritet","2","personer","122","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030113","minoritet","3","personer","144","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030113","minoritet","4","personer","184","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030113","minoritet","5","personer","162","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030113","minoritet","1-5","personer","677","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030113","minoritet","1-5","prosent","78.9","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030113","ikke_minoritet","1-5","personer","2235","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030113","NULL","1-5","personer","3738","barnehagedeltakelse","alle","NULL","NULL","NULL"
"2013","030113","NULL","1","personer","167","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030113","NULL","2","personer","160","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030113","NULL","3","personer","163","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030113","NULL","4","personer","195","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030113","NULL","5","personer","173","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030113","NULL","1-5","personer","858","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030113","NULL","1-5","personer","2880","barnehagedeltakelse","barn_ellers","NULL","NULL","NULL"
"2013","030114","alle","1-5","personer","3003","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030114","alle","1-5","prosent","87.6","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030114","minoritet","1","personer","28","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030114","minoritet","2","personer","62","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030114","minoritet","3","personer","58","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030114","minoritet","4","personer","67","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030114","minoritet","5","personer","73","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030114","minoritet","1-5","personer","288","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030114","minoritet","1-5","prosent","74.4","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030114","ikke_minoritet","1-5","personer","2715","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030114","NULL","1-5","personer","3430","barnehagedeltakelse","alle","NULL","NULL","NULL"
"2013","030114","NULL","1","personer","76","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030114","NULL","2","personer","81","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030114","NULL","3","personer","64","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030114","NULL","4","personer","84","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030114","NULL","5","personer","82","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030114","NULL","1-5","personer","387","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030114","NULL","1-5","personer","3043","barnehagedeltakelse","barn_ellers","NULL","NULL","NULL"
"2013","030115","alle","1-5","personer","2117","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030115","alle","1-5","prosent","72.7","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030115","minoritet","1","personer","51","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030115","minoritet","2","personer","186","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030115","minoritet","3","personer","252","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030115","minoritet","4","personer","312","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030115","minoritet","5","personer","307","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030115","minoritet","1-5","personer","1108","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030115","minoritet","1-5","prosent","84.2","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030115","ikke_minoritet","1-5","personer","1009","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030115","NULL","1-5","personer","2911","barnehagedeltakelse","alle","NULL","NULL","NULL"
"2013","030115","NULL","1","personer","232","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030115","NULL","2","personer","281","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030115","NULL","3","personer","261","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030115","NULL","4","personer","268","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030115","NULL","5","personer","274","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030115","NULL","1-5","personer","1316","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030115","NULL","1-5","personer","1595","barnehagedeltakelse","barn_ellers","NULL","NULL","NULL"
"2013","030116","alle","1-5","personer",":","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030116","alle","1-5","prosent",":","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030116","minoritet","1","personer",":","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030116","minoritet","2","personer",":","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030116","minoritet","3","personer",":","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030116","minoritet","4","personer",":","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030116","minoritet","5","personer",":","barnehagedeltakelse","NULL","NULL","NULL","NULL"
