Næringsreg nr ;naringsregion_nr;"Næringsreg.
navn";flytting.innvandring;flytting.innvandring;flytting.innvandring;flytting.innvandring;flytting.innvandring;flytting.utvandring;flytting.utvandring;flytting.utvandring;flytting.utvandring;flytting.utvandring;flytting.nettoinnvandring;flytting.nettoinnvandring;flytting.nettoinnvandring;flytting.nettoinnvandring;flytting.nettoinnvandring;flytting.innflytting;flytting.innflytting;flytting.innflytting;flytting.innflytting;flytting.innflytting;flytting.utflytting;flytting.utflytting;flytting.utflytting;flytting.utflytting;flytting.utflytting;flytting.nettoinnflytting;flytting.nettoinnflytting;flytting.nettoinnflytting;flytting.nettoinnflytting;flytting.nettoinnflytting;flytting.innvandring_og_innflytting;flytting.innvandring_og_innflytting;flytting.innvandring_og_innflytting;flytting.innvandring_og_innflytting;flytting.innvandring_og_innflytting;flytting.utvandring_og_utflytting;flytting.utvandring_og_utflytting;flytting.utvandring_og_utflytting;flytting.utvandring_og_utflytting;flytting.utvandring_og_utflytting;flytting.nettoinnvandring_og_nettoinnflytting;flytting.nettoinnvandring_og_nettoinnflytting;flytting.nettoinnvandring_og_nettoinnflytting;flytting.nettoinnvandring_og_nettoinnflytting;flytting.nettoinnvandring_og_nettoinnflytting
08 Øvre Romerike     ;8;Øvre Romerike     ;1135;1009;730;279;126;601;394;288;106;207;534;615;442;173;-81;4720;1144;569;575;3576;3857;746;419;327;3111;863;398;150;248;465;5855;2153;1299;854;3702;4458;1140;707;433;3318;1397;1013;592;421;384
09 Oslo              ;9;Oslo              ;16800;14601;8689;5912;2199;10563;7616;4407;3209;2947;6237;6985;4282;2703;-748;28840;6521;2463;4058;22319;30171;6601;3015;3586;23570;-1331;-80;-552;472;-1251;45640;21122;11152;9970;24518;40734;14217;7422;6795;26517;4906;6905;3730;3175;-1999
10 Fjellregionen     ;10;Fjellregionen     ;91;83;61;22;8;62;48;33;15;14;29;35;28;7;-6;374;64;20;44;310;513;89;39;50;424;-139;-25;-19;-6;-114;465;147;81;66;318;575;137;72;65;438;-110;10;9;1;-120
11 Glåmdal           ;11;Glåmdal           ;488;407;174;233;81;183;87;53;34;96;305;320;121;199;-15;1589;240;119;121;1349;1622;288;99;189;1334;-33;-48;20;-68;15;2077;647;293;354;1430;1805;375;152;223;1430;272;272;141;131;0
12 Hamarregionen     ;12;Hamarregionen     ;801;687;383;304;114;322;197;134;63;125;479;490;249;241;-11;2472;420;175;245;2052;2283;355;140;215;1928;189;65;35;30;124;3273;1107;558;549;2166;2605;552;274;278;2053;668;555;284;271;113
13 Sør Østerdal      ;13;Sør Østerdal      ;533;472;178;294;61;171;105;80;25;66;362;367;98;269;-5;1325;176;69;107;1149;1361;257;76;181;1104;-36;-81;-7;-74;45;1858;648;247;401;1210;1532;362;156;206;1170;326;286;91;195;40
14 Gjøvikregionen    ;14;Gjøvikregionen    ;691;628;265;363;63;209;143;87;56;66;482;485;178;307;-3;1916;277;94;183;1639;1991;384;116;268;1607;-75;-107;-22;-85;32;2607;905;359;546;1702;2200;527;203;324;1673;407;378;156;222;29
15 Hadeland          ;15;Hadeland          ;247;215;133;82;32;91;71;53;18;20;156;144;80;64;12;1046;187;83;104;859;997;151;81;70;846;49;36;2;34;13;1293;402;216;186;891;1088;222;134;88;866;205;180;82;98;25
16 Lillehammerregionen;16;Lillehammerregionen;336;287;212;75;49;137;87;49;38;50;199;200;163;37;-1;1684;227;92;135;1457;1590;201;80;121;1389;94;26;12;14;68;2020;514;304;210;1506;1727;288;129;159;1439;293;226;175;51;67
17 Midt-Gudbrandsdal ;17;Midt-Gudbrandsdal ;133;123;57;66;10;19;15;12;3;4;114;108;45;63;6;288;45;22;23;243;432;98;44;54;334;-144;-53;-22;-31;-91;421;168;79;89;253;451;113;56;57;338;-30;55;23;32;-85
18 Nord-Gudbrandsdal ;18;Nord-Gudbrandsdal ;233;208;58;150;25;35;19;13;6;16;198;189;45;144;9;339;46;16;30;293;560;172;41;131;388;-221;-126;-25;-101;-95;572;254;74;180;318;595;191;54;137;404;-23;63;20;43;-86
19 Valdres           ;19;Valdres           ;272;258;103;155;14;51;43;27;16;8;221;215;76;139;6;466;71;22;49;395;595;209;63;146;386;-129;-138;-41;-97;9;738;329;125;204;409;646;252;90;162;394;92;77;35;42;15
20 Drammensregionen  ;20;Drammensregionen  ;2367;2075;1440;635;292;951;619;428;191;332;1416;1456;1012;444;-40;5841;1615;761;854;4226;5547;1135;610;525;4412;294;480;151;329;-186;8208;3690;2201;1489;4518;6498;1754;1038;716;4744;1710;1936;1163;773;-226
21 Hallingdal        ;21;Hallingdal        ;453;431;197;234;22;153;133;115;18;20;300;298;82;216;2;584;122;78;44;462;860;325;100;225;535;-276;-203;-22;-181;-73;1037;553;275;278;484;1013;458;215;243;555;24;95;60;35;-71
22 Kongsberg/Numedal ;22;Kongsberg/Numedal ;575;528;279;249;47;185;143;80;63;42;390;385;199;186;5;1227;274;116;158;953;1081;279;101;178;802;146;-5;15;-20;151;1802;802;395;407;1000;1266;422;181;241;844;536;380;214;166;156
23 Midt-Buskerud     ;23;Midt-Buskerud     ;180;165;135;30;15;50;39;30;9;11;130;126;105;21;4;835;138;78;60;697;693;101;63;38;592;142;37;15;22;105;1015;303;213;90;712;743;140;93;47;603;272;163;120;43;109
24 Ringerike/Hole    ;24;Ringerike/Hole    ;403;359;245;114;44;178;151;133;18;27;225;208;112;96;17;1477;319;174;145;1158;1355;283;152;131;1072;122;36;22;14;86;1880;678;419;259;1202;1533;434;285;149;1099;347;244;134;110;103
25 Tønsbergregionen  ;25;Tønsbergregionen  ;1507;1304;799;505;203;769;527;375;152;242;738;777;424;353;-39;4390;693;343;350;3697;3953;741;333;408;3212;437;-48;10;-58;485;5897;1997;1142;855;3900;4722;1268;708;560;3454;1175;729;434;295;446
26 Sandefjord/Larvik ;26;Sandefjord/Larvik ;919;754;484;270;165;484;282;207;75;202;435;472;277;195;-37;2656;508;218;290;2148;2555;422;183;239;2133;101;86;35;51;15;3575;1262;702;560;2313;3039;704;390;314;2335;536;558;312;246;-22
27 Grenland          ;27;Grenland          ;996;848;405;443;148;463;316;208;108;147;533;532;197;335;1;2712;578;192;386;2134;2770;488;160;328;2282;-58;90;32;58;-148;3708;1426;597;829;2282;3233;804;368;436;2429;475;622;229;393;-147
28 Midt-Telemark     ;28;Midt-Telemark     ;256;245;127;118;11;74;65;45;20;9;182;180;82;98;2;626;87;43;44;539;783;182;60;122;601;-157;-95;-17;-78;-62;882;332;170;162;550;857;247;105;142;610;25;85;65;20;-60
29 Øst-Telemark      ;29;Øst-Telemark      ;217;199;73;126;18;93;78;71;7;15;124;121;2;119;3;690;137;67;70;553;673;151;49;102;522;17;-14;18;-32;31;907;336;140;196;571;766;229;120;109;537;141;107;20;87;34
30 Vest-Telemark     ;30;Vest-Telemark     ;129;105;75;30;24;43;28;15;13;15;86;77;60;17;9;436;47;31;16;389;526;88;43;45;438;-90;-41;-12;-29;-49;565;152;106;46;413;569;116;58;58;453;-4;36;48;-12;-40
31 Setesdal          ;31;Setesdal          ;91;78;36;42;13;18;15;11;4;3;73;63;25;38;10;244;44;18;26;200;310;87;28;59;223;-66;-43;-10;-33;-23;335;122;54;68;213;328;102;39;63;226;7;20;15;5;-13
32 Arendalregionen   ;32;Arendalregionen   ;878;741;461;280;137;351;239;155;84;112;527;502;306;196;25;2280;418;156;262;1862;2188;359;136;223;1829;92;59;20;39;33;3158;1159;617;542;1999;2539;598;291;307;1941;619;561;326;235;58
33 Lister            ;33;Lister            ;453;410;107;303;43;94;76;55;21;18;359;334;52;282;25;673;81;39;42;592;968;299;58;241;669;-295;-218;-19;-199;-77;1126;491;146;345;635;1062;375;113;262;687;64;116;33;83;-52
34 Mandalsregionen   ;34;Mandalsregionen   ;331;292;134;158;39;127;82;42;40;45;204;210;92;118;-6;660;114;41;73;546;744;125;52;73;619;-84;-11;-11;0;-73;991;406;175;231;585;871;207;94;113;664;120;199;81;118;-79
35 Kristiansandregionen;35;Kristiansandregionen;1540;1297;683;614;243;671;447;308;139;224;869;850;375;475;19;3835;714;244;470;3121;3473;691;260;431;2782;362;23;-16;39;339;5375;2011;927;1084;3364;4144;1138;568;570;3006;1231;873;359;514;358
36 Dalane            ;36;Dalane            ;281;252;164;88;29;121;93;73;20;28;160;159;91;68;1;649;193;122;71;456;597;116;46;70;481;52;77;76;1;-25;930;445;286;159;485;718;209;119;90;509;212;236;167;69;-24
37 Haugesundregionen ;37;Haugesundregionen ;1347;1227;862;365;120;505;405;308;97;100;842;822;554;268;20;2150;410;181;229;1740;2142;445;183;262;1697;8;-35;-2;-33;43;3497;1637;1043;594;1860;2647;850;491;359;1797;850;787;552;235;63
38 Ryfylke           ;38;Ryfylke           ;296;274;183;91;22;90;70;61;9;20;206;204;122;82;2;785;133;62;71;652;749;120;47;73;629;36;13;15;-2;23;1081;407;245;162;674;839;190;108;82;649;242;217;137;80;25
39 Stavangerregionen ;39;Stavangerregionen ;6492;5851;3777;2074;641;3434;2655;1751;904;779;3058;3196;2026;1170;-138;6163;1460;607;853;4703;6208;1187;555;632;5021;-45;273;52;221;-318;12655;7311;4384;2927;5344;9642;3842;2306;1536;5800;3013;3469;2078;1391;-456
40 Bergen            ;40;Bergen            ;5006;4482;2928;1554;524;2325;1714;971;743;611;2681;2768;1957;811;-87;9794;1657;698;959;8137;9898;1505;826;679;8393;-104;152;-128;280;-256;14800;6139;3626;2513;8661;12223;3219;1797;1422;9004;2577;2920;1829;1091;-343
41 Bjørnefjorden     ;41;Bjørnefjorden     ;250;219;179;40;31;65;45;37;8;20;185;174;142;32;11;1119;168;121;47;951;882;121;74;47;761;237;47;47;0;190;1369;387;300;87;982;947;166;111;55;781;422;221;189;32;201
42 Hardanger         ;42;Hardanger         ;314;284;139;145;30;89;72;66;6;17;225;212;73;139;13;507;76;41;35;431;736;190;83;107;546;-229;-114;-42;-72;-115;821;360;180;180;461;825;262;149;113;563;-4;98;31;67;-102
43 Voss              ;43;Voss              ;180;164;108;56;16;43;26;20;6;17;137;138;88;50;-1;387;66;35;31;321;420;92;33;59;328;-33;-26;2;-28;-7;567;230;143;87;337;463;118;53;65;345;104;112;90;22;-8
44 Nordhordland      ;44;Nordhordland      ;269;229;163;66;40;148;105;85;20;43;121;124;78;46;-3;1110;164;110;54;946;946;145;100;45;801;164;19;10;9;145;1379;393;273;120;986;1094;250;185;65;844;285;143;88;55;142
45 Osterfjorden      ;45;Osterfjorden      ;78;74;52;22;4;47;27;23;4;20;31;47;29;18;-16;458;92;72;20;366;398;50;39;11;348;60;42;33;9;18;536;166;124;42;370;445;77;62;15;368;91;89;62;27;2
46 Sunnhordland      ;46;Sunnhordland      ;770;700;458;242;70;220;166;123;43;54;550;534;335;199;16;1608;285;163;122;1323;1809;306;126;180;1503;-201;-21;37;-58;-180;2378;985;621;364;1393;2029;472;249;223;1557;349;513;372;141;-164
47 Hordaland Vest    ;47;Hordaland Vest    ;616;556;390;166;60;232;142;101;41;90;384;414;289;125;-30;2679;476;277;199;2203;2214;356;189;167;1858;465;120;88;32;345;3295;1032;667;365;2263;2446;498;290;208;1948;849;534;377;157;315
48 HAFS              ;48;HAFS              ;155;149;85;64;6;128;125;59;66;3;27;24;26;-2;3;279;31;17;14;248;341;72;54;18;269;-62;-41;-37;-4;-21;434;180;102;78;254;469;197;113;84;272;-35;-17;-11;-6;-18
49 Nordfjord         ;49;Nordfjord         ;400;366;238;128;34;132;113;94;19;19;268;253;144;109;15;649;115;61;54;534;912;194;83;111;718;-263;-79;-22;-57;-184;1049;481;299;182;568;1044;307;177;130;737;5;174;122;52;-169
50 Sogn              ;50;Sogn              ;465;439;185;254;26;142;94;72;22;48;323;345;113;232;-22;782;131;59;72;651;1030;232;107;125;798;-248;-101;-48;-53;-147;1247;570;244;326;677;1172;326;179;147;846;75;244;65;179;-169
51 Sunnfjord         ;51;Sunnfjord         ;460;428;176;252;32;97;80;53;27;17;363;348;123;225;15;841;134;67;67;707;1109;285;81;204;824;-268;-151;-14;-137;-117;1301;562;243;319;739;1206;365;134;231;841;95;197;109;88;-102
52 Nordmøre          ;52;Nordmøre          ;786;723;359;364;63;223;177;138;39;46;563;546;221;325;17;1431;248;106;142;1183;1718;414;135;279;1304;-287;-166;-29;-137;-121;2217;971;465;506;1246;1941;591;273;318;1350;276;380;192;188;-104
53 Romsdal           ;53;Romsdal           ;692;632;368;264;60;265;193;133;60;72;427;439;235;204;-12;1441;201;115;86;1240;1647;316;149;167;1331;-206;-115;-34;-81;-91;2133;833;483;350;1300;1912;509;282;227;1403;221;324;201;123;-103
54 Storfjord         ;54;Storfjord         ;219;199;161;38;20;74;59;55;4;15;145;140;106;34;5;466;122;82;40;344;591;129;96;33;462;-125;-7;-14;7;-118;685;321;243;78;364;665;188;151;37;477;20;133;92;41;-113
55 Søre Sunnmøre     ;55;Søre Sunnmøre     ;751;702;415;287;49;239;201;178;23;38;512;501;237;264;11;996;152;74;78;844;1308;323;122;201;985;-312;-171;-48;-123;-141;1747;854;489;365;893;1547;524;300;224;1023;200;330;189;141;-130
56 Ålesundregionen   ;56;Ålesundregionen   ;1265;1171;857;314;94;376;281;239;42;95;889;890;618;272;-1;2078;400;208;192;1678;2049;424;243;181;1625;29;-24;-35;11;53;3343;1571;1065;506;1772;2425;705;482;223;1720;918;866;583;283;52
57 Fosen             ;57;Fosen             ;168;151;113;38;17;49;39;35;4;10;119;112;78;34;7;771;98;52;46;673;824;64;32;32;760;-53;34;20;14;-87;939;249;165;84;690;873;103;67;36;770;66;146;98;48;-80
58 Hitra/Frøya       ;58;Hitra/Frøya       ;229;219;155;64;10;85;78;73;5;7;144;141;82;59;3;265;38;27;11;227;310;76;54;22;234;-45;-38;-27;-11;-7;494;257;182;75;237;395;154;127;27;241;99;103;55;48;-4
59 Oppdal/Rennebu    ;59;Oppdal/Rennebu    ;64;53;49;4;11;25;22;16;6;3;39;31;33;-2;8;289;43;24;19;246;272;40;21;19;232;17;3;3;0;14;353;96;73;23;257;297;62;37;25;235;56;34;36;-2;22
60 Orkdalregionen    ;60;Orkdalregionen    ;160;137;56;81;23;42;27;17;10;15;118;110;39;71;8;684;121;81;40;563;711;118;32;86;593;-27;3;49;-46;-30;844;258;137;121;586;753;145;49;96;608;91;113;88;25;-22
61 Trondheimsregionen;61;Trondheimsregionen;3261;2938;1854;1084;323;2074;1705;1116;589;369;1187;1233;738;495;-46;8159;1035;433;602;7124;7655;1186;512;674;6469;504;-151;-79;-72;655;11420;3973;2287;1686;7447;9729;2891;1628;1263;6838;1691;1082;659;423;609
62 Rørosregionen     ;62;Rørosregionen     ;47;39;36;3;8;19;8;8;0;11;28;31;28;3;-3;236;37;23;14;199;242;20;15;5;222;-6;17;8;9;-23;283;76;59;17;207;261;28;23;5;233;22;48;36;12;-26
63 Stjørdalsregionen ;63;Stjørdalsregionen ;233;195;89;106;38;71;50;35;15;21;162;145;54;91;17;1061;164;68;96;897;946;143;60;83;803;115;21;8;13;94;1294;359;157;202;935;1017;193;95;98;824;277;166;62;104;111
64 Innherred         ;64;Innherred         ;655;587;310;277;68;259;189;147;42;70;396;398;163;235;-2;1497;209;70;139;1288;1757;414;215;199;1343;-260;-205;-145;-60;-55;2152;796;380;416;1356;2016;603;362;241;1413;136;193;18;175;-57
65 Indre Namdal      ;65;Indre Namdal      ;144;130;30;100;14;37;21;21;0;16;107;109;9;100;-2;235;31;15;16;204;349;115;11;104;234;-114;-84;4;-88;-30;379;161;45;116;218;386;136;32;104;250;-7;25;13;12;-32
66 Kystgruppen       ;66;Kystgruppen       ;70;63;27;36;7;26;19;14;5;7;44;44;13;31;0;275;48;11;37;227;332;34;18;16;298;-57;14;-7;21;-71;345;111;38;73;234;358;53;32;21;305;-13;58;6;52;-71
67 Midtre Namdal     ;67;Midtre Namdal     ;221;197;64;133;24;58;36;29;7;22;163;161;35;126;2;572;89;34;55;483;716;167;29;138;549;-144;-78;5;-83;-66;793;286;98;188;507;774;203;58;145;571;19;83;40;43;-64
68 Sør-Helgeland     ;68;Sør-Helgeland     ;71;62;26;36;9;24;15;11;4;9;47;47;15;32;0;393;53;20;33;340;438;35;17;18;403;-45;18;3;15;-63;464;115;46;69;349;462;50;28;22;412;2;65;18;47;-63
69 HALD              ;69;HALD              ;207;197;82;115;10;41;26;16;10;15;166;171;66;105;-5;385;52;17;35;333;509;152;53;99;357;-124;-100;-36;-64;-24;592;249;99;150;343;550;178;69;109;372;42;71;30;41;-29
70 Ytre Helgeland    ;70;Ytre Helgeland    ;53;45;32;13;8;21;18;14;4;3;32;27;18;9;5;128;8;5;3;120;194;21;12;9;173;-66;-13;-7;-6;-53;181;53;37;16;128;215;39;26;13;176;-34;14;11;3;-48
71 Mosjøregionen     ;71;Mosjøregionen     ;199;184;49;135;15;23;18;14;4;5;176;166;35;131;10;367;38;14;24;329;481;119;29;90;362;-114;-81;-15;-66;-33;566;222;63;159;344;504;137;43;94;367;62;85;20;65;-23
72 Ranaregionen      ;72;Ranaregionen      ;344;314;126;188;30;71;39;27;12;32;273;275;99;176;-2;665;105;35;70;560;787;183;52;131;604;-122;-78;-17;-61;-44;1009;419;161;258;590;858;222;79;143;636;151;197;82;115;-46
73 Salten            ;73;Salten            ;984;866;402;464;118;237;170;76;94;67;747;696;326;370;51;1980;314;125;189;1666;2340;438;119;319;1902;-360;-124;6;-130;-236;2964;1180;527;653;1784;2577;608;195;413;1969;387;572;332;240;-185
74 Ofoten            ;74;Ofoten            ;426;384;183;201;42;92;81;31;50;11;334;303;152;151;31;832;169;67;102;663;942;212;70;142;730;-110;-43;-3;-40;-67;1258;553;250;303;705;1034;293;101;192;741;224;260;149;111;-36
75 Lofoten           ;75;Lofoten           ;366;354;200;154;12;58;39;26;13;19;308;315;174;141;-7;688;114;44;70;574;832;183;64;119;649;-144;-69;-20;-49;-75;1054;468;244;224;586;890;222;90;132;668;164;246;154;92;-82
76 Vesterålen        ;76;Vesterålen        ;538;497;240;257;41;78;65;44;21;13;460;432;196;236;28;845;136;54;82;709;1088;271;51;220;817;-243;-135;3;-138;-108;1383;633;294;339;750;1166;336;95;241;830;217;297;199;98;-80
77 Sør-Troms         ;77;Sør-Troms         ;471;439;148;291;32;111;84;41;43;27;360;355;107;248;5;1171;166;75;91;1005;1394;306;70;236;1088;-223;-140;5;-145;-83;1642;605;223;382;1037;1505;390;111;279;1115;137;215;112;103;-78
78 Midt-Troms        ;78;Midt-Troms        ;496;470;145;325;26;90;69;40;29;21;406;401;105;296;5;1068;112;37;75;956;1331;275;46;229;1056;-263;-163;-9;-154;-100;1564;582;182;400;982;1421;344;86;258;1077;143;238;96;142;-95
79 Tromsøregionen    ;79;Tromsøregionen    ;1330;1233;802;431;97;503;433;262;171;70;827;800;540;260;27;2832;398;191;207;2434;2815;362;162;200;2453;17;36;29;7;-19;4162;1631;993;638;2531;3318;795;424;371;2523;844;836;569;267;8
80 Nord-Troms        ;80;Nord-Troms        ;209;186;83;103;23;35;22;19;3;13;174;164;64;100;10;468;38;13;25;430;631;101;20;81;530;-163;-63;-7;-56;-100;677;224;96;128;453;666;123;39;84;543;11;101;57;44;-90
81 Vest-Finnmark     ;81;Vest-Finnmark     ;585;547;332;215;38;192;151;101;50;41;393;396;231;165;-3;1261;215;89;126;1046;1449;336;135;201;1113;-188;-121;-46;-75;-67;1846;762;421;341;1084;1641;487;236;251;1154;205;275;185;90;-70
82 Midt-Finnmark     ;82;Midt-Finnmark     ;100;80;52;28;20;65;41;33;8;24;35;39;19;20;-4;469;63;34;29;406;543;57;30;27;486;-74;6;4;2;-80;569;143;86;57;426;608;98;63;35;510;-39;45;23;22;-84
83 Øst-Finnmark      ;83;Øst-Finnmark      ;695;665;394;271;30;120;101;75;26;19;575;564;319;245;11;779;130;46;84;649;1025;260;78;182;765;-246;-130;-32;-98;-116;1474;795;440;355;679;1145;361;153;208;784;329;434;287;147;-105
