;;;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2008;kohort.2008;kohort.2008;kohort.2008;kohort.2008;kohort.2008;kohort.2008;kohort.2008;kohort.2008;kohort.2008;kohort.2008
0520 Ringebu;520;Ringebu;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0521 Øyer;521;Øyer;24;100;38;29;33;14;100;29;10;100;50;24;100;38;29;33;14;100;29;10;100;50;24;100;38;29;33;14;100;29;10;100;50
0522 Gausdal;522;Gausdal;5;100;80;:;:;:;:;:;:;100;:;5;100;80;:;:;:;:;:;:;100;:;5;100;80;:;:;:;:;:;:;100;:
0528 Østre Toten;528;Østre Toten;17;100;65;:;:;5;100;:;12;100;67;17;100;65;:;:;5;100;:;12;100;67;17;100;65;:;:;5;100;:;12;100;67
0529 Vestre Toten;529;Vestre Toten;16;100;56;:;:;6;100;:;10;100;70;16;100;56;:;:;6;100;:;10;100;70;16;100;56;:;:;6;100;:;10;100;70
0532 Jevnaker;532;Jevnaker;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0533 Lunner;533;Lunner;17;100;65;:;:;13;100;85;4;100;:;17;100;65;:;:;13;100;85;4;100;:;17;100;65;:;:;13;100;85;4;100;:
0534 Gran;534;Gran;19;100;47;:;:;12;100;42;7;100;57;19;100;47;:;:;12;100;42;7;100;57;19;100;47;:;:;12;100;42;7;100;57
0536 Søndre Land;536;Søndre Land;6;100;100;:;:;4;100;100;:;100;:;6;100;100;:;:;4;100;100;:;100;:;6;100;100;:;:;4;100;100;:;100;:
0538 Nordre Land;538;Nordre Land;6;100;:;67;:;:;:;:;4;100;:;6;100;:;67;:;:;:;:;4;100;:;6;100;:;67;:;:;:;:;4;100;:
0540 Sør-Aurdal;540;Sør-Aurdal;5;100;:;:;:;:;:;:;:;100;:;5;100;:;:;:;:;:;:;:;100;:;5;100;:;:;:;:;:;:;:;100;:
0541 Etnedal;541;Etnedal;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0542 Nord-Aurdal;542;Nord-Aurdal;10;100;80;:;:;5;100;80;5;100;80;10;100;80;:;:;5;100;80;5;100;80;10;100;80;:;:;5;100;80;5;100;80
0543 Vestre Slidre;543;Vestre Slidre;8;100;50;:;:;8;100;50;:;:;:;8;100;50;:;:;8;100;50;:;:;:;8;100;50;:;:;8;100;50;:;:;:
0544 Øystre Slidre;544;Øystre Slidre;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0545 Vang;545;Vang;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0602 Drammen;602;Drammen;46;100;63;17;20;23;100;70;23;100;57;46;100;63;17;20;23;100;70;23;100;57;46;100;63;17;20;23;100;70;23;100;57
0604 Kongsberg;604;Kongsberg;20;100;70;:;:;14;100;71;6;100;67;20;100;70;:;:;14;100;71;6;100;67;20;100;70;:;:;14;100;71;6;100;67
0605 Ringerike;605;Ringerike;12;100;67;:;:;7;100;57;5;100;80;12;100;67;:;:;7;100;57;5;100;80;12;100;67;:;:;7;100;57;5;100;80
0612 Hole;612;Hole;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0615 Flå;615;Flå;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0616 Nes;616;Nes (Busk.);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0617 Gol;617;Gol;8;100;88;:;:;5;100;80;:;100;:;8;100;88;:;:;5;100;80;:;100;:;8;100;88;:;:;5;100;80;:;100;:
0618 Hemsedal;618;Hemsedal;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0619 Ål;619;Ål;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0620 Hol;620;Hol;5;100;:;:;:;:;:;:;4;100;:;5;100;:;:;:;:;:;:;4;100;:;5;100;:;:;:;:;:;:;4;100;:
0621 Sigdal;621;Sigdal;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0622 Krødsherad;622;Krødsherad;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0623 Modum;623;Modum;17;100;47;24;29;12;100;58;5;100;:;17;100;47;24;29;12;100;58;5;100;:;17;100;47;24;29;12;100;58;5;100;:
0624 Øvre Eiker;624;Øvre Eiker;7;100;:;:;:;:;:;:;4;100;:;7;100;:;:;:;:;:;:;4;100;:;7;100;:;:;:;:;:;:;4;100;:
0625 Nedre Eiker;625;Nedre Eiker;15;100;73;:;:;11;100;73;4;100;:;15;100;73;:;:;11;100;73;4;100;:;15;100;73;:;:;11;100;73;4;100;:
0626 Lier;626;Lier;19;100;63;:;:;10;100;70;9;100;56;19;100;63;:;:;10;100;70;9;100;56;19;100;63;:;:;10;100;70;9;100;56
0627 Røyken;627;Røyken;5;100;:;:;:;:;:;:;:;100;:;5;100;:;:;:;:;:;:;:;100;:;5;100;:;:;:;:;:;:;:;100;:
0628 Hurum;628;Hurum;17;100;47;24;29;9;100;56;8;100;:;17;100;47;24;29;9;100;56;8;100;:;17;100;47;24;29;9;100;56;8;100;:
0631 Flesberg;631;Flesberg;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0632 Rollag;632;Rollag;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0633 Nore og Uvdal;633;Nore og Uvdal;7;100;100;:;:;7;100;100;:;:;:;7;100;100;:;:;7;100;100;:;:;:;7;100;100;:;:;7;100;100;:;:;:
0701 Horten;701;Horten;7;100;:;:;:;:;:;:;4;100;:;7;100;:;:;:;:;:;:;4;100;:;7;100;:;:;:;:;:;:;4;100;:
0702 Holmestrand;702;Holmestrand;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0704 Tønsberg;704;Tønsberg;9;100;67;:;:;4;100;:;5;100;:;9;100;67;:;:;4;100;:;5;100;:;9;100;67;:;:;4;100;:;5;100;:
0706 Sandefjord;706;Sandefjord;15;100;53;:;:;7;100;100;8;100;:;15;100;53;:;:;7;100;100;8;100;:;15;100;53;:;:;7;100;100;8;100;:
0709 Larvik;709;Larvik;24;100;71;:;:;15;100;73;9;100;67;24;100;71;:;:;15;100;73;9;100;67;24;100;71;:;:;15;100;73;9;100;67
0711 Svelvik;711;Svelvik;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0713 Sande;713;Sande (Vestf.);10;100;:;40;:;7;100;:;:;100;:;10;100;:;40;:;7;100;:;:;100;:;10;100;:;40;:;7;100;:;:;100;:
0714 Hof;714;Hof;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0716 Re;716;Re (f.o.m. 2002);8;100;38;13;50;4;100;:;4;100;:;8;100;38;13;50;4;100;:;4;100;:;8;100;38;13;50;4;100;:;4;100;:
0719 Andebu;719;Andebu;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0720 Stokke;720;Stokke;8;100;75;:;:;5;100;100;:;100;:;8;100;75;:;:;5;100;100;:;100;:;8;100;75;:;:;5;100;100;:;100;:
0722 Nøtterøy;722;Nøtterøy;11;100;73;:;:;7;100;86;4;100;:;11;100;73;:;:;7;100;86;4;100;:;11;100;73;:;:;7;100;86;4;100;:
0723 Tjøme;723;Tjøme;6;100;67;:;:;4;100;75;:;100;:;6;100;67;:;:;4;100;75;:;100;:;6;100;67;:;:;4;100;75;:;100;:
0728 Lardal;728;Lardal;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0805 Porsgrunn;805;Porsgrunn;5;100;80;:;:;:;:;:;:;100;:;5;100;80;:;:;:;:;:;:;100;:;5;100;80;:;:;:;:;:;:;100;:
0806 Skien;806;Skien;73;100;58;14;29;44;100;68;29;100;41;73;100;58;14;29;44;100;68;29;100;41;73;100;58;14;29;44;100;68;29;100;41
0807 Notodden;807;Notodden;15;100;60;:;:;9;100;67;6;100;:;15;100;60;:;:;9;100;67;6;100;:;15;100;60;:;:;9;100;67;6;100;:
0811 Siljan;811;Siljan;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0814 Bamble;814;Bamble;26;100;65;:;:;14;100;86;12;100;42;26;100;65;:;:;14;100;86;12;100;42;26;100;65;:;:;14;100;86;12;100;42
0815 Kragerø;815;Kragerø;16;100;31;:;:;8;100;50;8;100;:;16;100;31;:;:;8;100;50;8;100;:;16;100;31;:;:;8;100;50;8;100;:
0817 Drangedal;817;Drangedal;6;100;:;:;:;:;:;:;4;100;:;6;100;:;:;:;:;:;:;4;100;:;6;100;:;:;:;:;:;:;4;100;:
0819 Nome;819;Nome;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0821 Bø;821;Bø (Telem.);12;100;67;:;:;9;100;56;3;100;:;12;100;67;:;:;9;100;56;3;100;:;12;100;67;:;:;9;100;56;3;100;:
0822 Sauherad;822;Sauherad;14;100;57;:;:;9;100;56;5;100;:;14;100;57;:;:;9;100;56;5;100;:;14;100;57;:;:;9;100;56;5;100;:
0826 Tinn;826;Tinn;5;100;80;:;:;:;:;:;:;100;:;5;100;80;:;:;:;:;:;:;100;:;5;100;80;:;:;:;:;:;:;100;:
0827 Hjartdal;827;Hjartdal;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0828 Seljord;828;Seljord;7;100;57;:;:;:;:;:;4;100;:;7;100;57;:;:;:;:;:;4;100;:;7;100;57;:;:;:;:;:;4;100;:
0829 Kviteseid;829;Kviteseid;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0830 Nissedal;830;Nissedal;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0831 Fyresdal;831;Fyresdal;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0833 Tokke;833;Tokke;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0834 Vinje;834;Vinje;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0901 Risør;901;Risør;8;100;:;:;:;4;100;:;4;100;:;8;100;:;:;:;4;100;:;4;100;:;8;100;:;:;:;4;100;:;4;100;:
0904 Grimstad;904;Grimstad;22;100;68;:;:;11;100;91;11;100;45;22;100;68;:;:;11;100;91;11;100;45;22;100;68;:;:;11;100;91;11;100;45
0906 Arendal;906;Arendal;25;100;68;:;:;20;100;75;5;100;40;25;100;68;:;:;20;100;75;5;100;40;25;100;68;:;:;20;100;75;5;100;40
0911 Gjerstad;911;Gjerstad;9;100;44;:;:;5;100;:;4;100;:;9;100;44;:;:;5;100;:;4;100;:;9;100;44;:;:;5;100;:;4;100;:
0912 Vegårshei;912;Vegårshei;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0914 Tvedestrand;914;Tvedestrand;5;100;:;:;:;:;:;:;:;100;:;5;100;:;:;:;:;:;:;:;100;:;5;100;:;:;:;:;:;:;:;100;:
0919 Froland;919;Froland;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
0926 Lillesand;926;Lillesand;8;100;75;:;:;4;100;100;4;100;:;8;100;75;:;:;4;100;100;4;100;:;8;100;75;:;:;4;100;100;4;100;:
0928 Birkenes;928;Birkenes;5;100;100;:;:;4;100;100;:;100;:;5;100;100;:;:;4;100;100;:;100;:;5;100;100;:;:;4;100;100;:;100;:
