"Næringsregion 
nr & navn";naringsregion_nr;"Næringsregion
navn";kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2012;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2010;kohort.2008;kohort.2008;kohort.2008;kohort.2008;kohort.2008;kohort.2008;kohort.2008;kohort.2008;kohort.2008;kohort.2008;kohort.2008
45 Osterfjorden;45;Osterfjorden;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
46 Sunnhordland;46;Sunnhordland;19;100;68;:;:;13;100;77;6;100;:;19;100;68;:;:;13;100;77;6;100;:;19;100;68;:;:;13;100;77;6;100;:
47 Hordaland Vest;47;Hordaland Vest;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
48 HAFS;48;HAFS;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
49 Nordfjord;49;Nordfjord;7;100;:;:;:;:;:;:;4;100;:;7;100;:;:;:;:;:;:;4;100;:;7;100;:;:;:;:;:;:;4;100;:
50 Sogn;50;Sogn;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
51 Sunnfjord;51;Sunnfjord;6;100;83;:;:;:;:;:;:;100;:;6;100;83;:;:;:;:;:;:;100;:;6;100;83;:;:;:;:;:;:;100;:
52 Nordmøre;52;Nordmøre;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
53 Romsdal;53;Romsdal;21;100;57;:;:;16;100;63;5;100;:;21;100;57;:;:;16;100;63;5;100;:;21;100;57;:;:;16;100;63;5;100;:
54 Storfjord;54;Storfjord;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
55 Søre Sunnmøre;55;Søre Sunnmøre;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
56 Ålesundregionen;56;Ålesundregionen;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
57 Fosen;57;Fosen;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
58 Hitra/Frøya;58;Hitra/Frøya;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
59 Oppdal/Rennebu;59;Oppdal/Rennebu;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
60 Orkdalregionen;60;Orkdalregionen;10;100;90;:;:;6;100;100;4;100;75;10;100;90;:;:;6;100;100;4;100;75;10;100;90;:;:;6;100;100;4;100;75
61 Trondheimsregionen;61;Trondheimsregionen;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
62 Rørosregionen;62;Rørosregionen;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
63 Stjørdalsregionen;63;Stjørdalsregionen;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
64 Innherred;64;Innherred;42;100;62;10;29;27;100;63;15;100;60;42;100;62;10;29;27;100;63;15;100;60;42;100;62;10;29;27;100;63;15;100;60
65 Indre Namdal;65;Indre Namdal;24;100;54;:;:;9;100;67;15;100;47;24;100;54;:;:;9;100;67;15;100;47;24;100;54;:;:;9;100;67;15;100;47
66 Kystgruppen;66;Kystgruppen;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
67 Midtre Namdal;67;Midtre Namdal;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
68 Sør-Helgeland;68;Sør-Helgeland;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
69 HALD;69;HALD;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
70 Ytre Helgeland;70;Ytre Helgeland;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
71 Mosjøregionen;71;Mosjøregionen;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
72 Ranaregionen;72;Ranaregionen;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
73 Salten;73;Salten;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
74 Ofoten;74;Ofoten;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
75 Lofoten;75;Lofoten;24;100;38;29;33;14;100;29;10;100;50;24;100;38;29;33;14;100;29;10;100;50;24;100;38;29;33;14;100;29;10;100;50
76 Vesterålen;76;Vesterålen;5;100;80;:;:;:;:;:;:;100;:;5;100;80;:;:;:;:;:;:;100;:;5;100;80;:;:;:;:;:;:;100;:
77 Sør-Troms;77;Sør-Troms;17;100;65;:;:;5;100;:;12;100;67;17;100;65;:;:;5;100;:;12;100;67;17;100;65;:;:;5;100;:;12;100;67
78 Midt-Troms;78;Midt-Troms;16;100;56;:;:;6;100;:;10;100;70;16;100;56;:;:;6;100;:;10;100;70;16;100;56;:;:;6;100;:;10;100;70
79 Tromsøregionen;79;Tromsøregionen;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
80 Nord-Troms;80;Nord-Troms;17;100;65;:;:;13;100;85;4;100;:;17;100;65;:;:;13;100;85;4;100;:;17;100;65;:;:;13;100;85;4;100;:
81 Vest-Finnmark;81;Vest-Finnmark;19;100;47;:;:;12;100;42;7;100;57;19;100;47;:;:;12;100;42;7;100;57;19;100;47;:;:;12;100;42;7;100;57
82 Midt-Finnmark;82;Midt-Finnmark;6;100;100;:;:;4;100;100;:;100;:;6;100;100;:;:;4;100;100;:;100;:;6;100;100;:;:;4;100;100;:;100;:
83 Øst-Finnmark;83;Øst-Finnmark;6;100;:;67;:;:;:;:;4;100;:;6;100;:;67;:;:;:;:;4;100;:;6;100;:;67;:;:;:;:;4;100;:
Uoppgitt;99;;5;100;:;:;:;:;:;:;:;100;:;5;100;:;:;:;:;:;:;:;100;:;5;100;:;:;:;:;:;:;:;100;:
